participant_id	species
sub-21G207	oryctolagus cuniculus
sub-21G2022	oryctolagus cuniculus
sub-21G2031	oryctolagus cuniculus
sub-22G1315	oryctolagus cuniculus
sub-21G204	oryctolagus cuniculus
sub-22G1311	oryctolagus cuniculus
sub-22G1319	oryctolagus cuniculus
sub-22G1320	oryctolagus cuniculus
sub-22G1328	oryctolagus cuniculus
sub-22G1329	oryctolagus cuniculus
sub-22G13240x5	oryctolagus cuniculus
sub-22G131440x1	oryctolagus cuniculus
sub-22G132040x3	oryctolagus cuniculus
sub-22G132340x1	oryctolagus cuniculus
