sample_id	participant_id	sample_type	original_filename
sample-21G207	sub-21G207	tissue	21G-20-7_40X2.tif
sample-21G2022	sub-21G2022	tissue	21G-20-22_40X7.tif
sample-21G2031	sub-21G2031	tissue	21G-20-31_40X5.tif
sample-22G1315	sub-22G1315	tissue	21G-13-15_40X_A1.2.tif
sample-21G204	sub-21G204	tissue	21G-20-4_40X2.tif
sample-22G1311	sub-22G1311	tissue	22g-13-11_40x5.tif
sample-22G1319	sub-22G1319	tissue	22g-13-19_40x7.tif
sample-22G1320	sub-22G1320	tissue	22g-13-20_40x7.tif
sample-22G1328	sub-22G1328	tissue	22g-13-28_40x7.tif
sample-22G1329	sub-22G1329	tissue	22g-13-29_40x4.tif
sample-22G132	sub-22G13240x5	tissue	22g-13-2_40x5.tif
sample-22G1314	sub-22G131440x1	tissue	22g-13-14_40x1.tif
sample-22G1320	sub-22G132040x3	tissue	22g-13-20_40x3.tif
sample-22G1323	sub-22G132340x1	tissue	22g-13-23_40x1.tif
